0|0|No range|No description
0|2|инфант|В Испании и Португалии при монархическом правлении: титул принца, а также лицо, носящее этот титул.
2|12|ребенок|Мальчик или девочка в раннем возрасте, до отрочества.
12|18|школьник|Ученик начальной или средней школы в России.
18|25|молодежь|Молодёжь — это особая социально-возрастная группа, отличающаяся возрастными рамками и своим статусом в обществе: переход от детства и юности к социальной ответственности.
25|45|взрослые|Взро́слый — человек, достигший определённого возраста, и по отношению к которому есть основания предполагать, что он обладает телесной и ментальной зрелостью.
46|65|старшие|Имеющий большее количество лет по сравнению с кем-либо, более старый или самый старый по возрасту среди кого-либо.
65|null|пенсионер|Пенсионер — лицо, получающее пенсию — регулярное денежное пособие, выплачиваемое лицам, которые достигли пенсионного возраста, стали инвалидами или потеряли кормильца.
